Timestamp,Score,drink_coffee,awake,drink_morning,drink_afternoon,sum_of_drinks
10/30/2023 11:47:26,,No,Afternoon,0,0,0
10/30/2023 11:48:00,,No,Afternoon,0,0,0
10/30/2023 11:48:20,,Yes,Afternoon,0,1,1
10/30/2023 11:49:50,,No,Afternoon,0,0,0
10/30/2023 11:59:54,,Yes,Afternoon,1,0,1
10/30/2023 11:59:55,,Yes,Morning,1,0,1
10/30/2023 12:02:40,,Yes,Morning,2,1,3
10/30/2023 12:03:35,,No,Afternoon,0,0,0
10/30/2023 12:09:30,,Yes,Morning,2,2,4
10/30/2023 13:25:05,,Yes,Afternoon,1,2,3
10/30/2023 13:32:21,,No,Morning,0,0,0
10/30/2023 13:45:57,,No,Afternoon,0,0,0
10/30/2023 13:51:41,,Yes,Afternoon,1,1,2
10/30/2023 14:02:27,,No,Afternoon,0,0,0
10/30/2023 14:04:36,,Yes,Afternoon,1,1,2
10/30/2023 14:34:12,,Yes,Afternoon,2,1,3
10/30/2023 14:35:38,,No,Morning,0,0,0
10/30/2023 14:44:30,,No,Afternoon,0,0,0
10/30/2023 15:04:44,,No,Afternoon,1,2,3
10/30/2023 15:28:28,,Yes,Morning,1,0,1
10/30/2023 15:54:47,,Yes,Afternoon,1,0,1
10/30/2023 16:25:52,,Yes,Afternoon,1,1,2
10/30/2023 17:14:47,,No,Afternoon,0,0,0
10/30/2023 17:35:09,,Yes,Afternoon,1,1,2
10/30/2023 18:42:46,,No,Afternoon,0,0,0
10/30/2023 19:18:33,,Yes,Afternoon,0,1,1
10/30/2023 19:41:01,,Yes,Afternoon,1,1,2
10/30/2023 20:11:32,,No,Afternoon,0,0,0
10/31/2023 1:48:30,,Yes,Afternoon,2,1,3
10/31/2023 9:08:17,,Yes,Afternoon,1,1,2
10/31/2023 9:19:43,,Yes,Afternoon,0,0,0
